i,j,k,x,y,z
0,13,0,3.182114473799924e+01,2.735514195760091e+01,-2.190286388958977e-01
0,13,1,3.182114473799924e+01,2.735514195760091e+01,2.309365241098404e-01
0,14,0,3.306036524317352e+01,2.945938364664714e+01,-2.043515905012529e-01
0,14,1,3.306036524317352e+01,2.945938364664714e+01,2.179047967087968e-01
0,15,0,3.426028114318848e+01,3.156362533569336e+01,-1.026334196329117e-01
0,15,1,3.426028114318848e+01,3.156362533569336e+01,1.381222486495972e-01
1,0,0,4.028455773089080e+00,0.000000000000000e+00,-2.930429339408875e+00
1,0,1,4.028455773089080e+00,0.000000000000000e+00,3.082856059074402e+00
1,1,0,7.342216167796646e+00,2.104241689046224e+00,-2.579583679280675e+00
1,1,1,7.342216167796646e+00,2.104241689046224e+00,2.715644013915113e+00
1,2,0,1.297537453983152e+01,4.208483378092448e+00,-2.095965182170661e+00
1,2,1,1.297537453983152e+01,4.208483378092448e+00,2.212696755229753e+00
1,3,0,1.779774495124817e+01,6.312725067138672e+00,-1.529123646020889e+00
1,3,1,1.779774495124817e+01,6.312725067138672e+00,1.654786807298660e+00
1,4,0,2.065966486931270e+01,8.416966756184896e+00,-1.074979702428330e+00
1,4,1,2.065966486931270e+01,8.416966756184896e+00,1.161456906610145e+00
1,5,0,2.245401392197260e+01,1.052120844523112e+01,-7.095968985425261e-01
1,5,1,2.245401392197260e+01,1.052120844523112e+01,7.571624650580531e-01
1,6,0,2.396152019500732e+01,1.262545013427734e+01,-4.721985802054405e-01
1,6,1,2.396152019500732e+01,1.262545013427734e+01,5.010997101664543e-01
1,7,0,2.527716237010751e+01,1.472969182332357e+01,-3.663568596159794e-01
1,7,1,2.527716237010751e+01,1.472969182332357e+01,3.884333320462954e-01
1,8,0,2.638508014048624e+01,1.683393351236979e+01,-3.403643734164421e-01
1,8,1,2.638508014048624e+01,1.683393351236979e+01,3.618233086909665e-01
1,9,0,2.747633045196534e+01,1.893817520141602e+01,-3.245393902063370e-01
1,9,1,2.747633045196534e+01,1.893817520141602e+01,3.501433998346329e-01
1,10,0,2.865590025883340e+01,2.104241689046224e+01,-3.081547014694540e-01
1,10,1,2.865590025883340e+01,2.104241689046224e+01,3.231864511667058e-01
1,11,0,2.983244388609107e+01,2.314665857950846e+01,-2.747502617825385e-01
1,11,1,2.983244388609107e+01,2.314665857950846e+01,2.906968035615606e-01
1,12,0,3.104099586486817e+01,2.525090026855469e+01,-2.449006266891957e-01
1,12,1,3.104099586486817e+01,2.525090026855469e+01,2.594242073595524e-01
1,13,0,3.224510474520240e+01,2.735514195760091e+01,-2.190286388958977e-01
1,13,1,3.224510474520240e+01,2.735514195760091e+01,2.309365241098404e-01
1,14,0,3.345518493078232e+01,2.945938364664714e+01,-2.043515905012529e-01
1,14,1,3.345518493078232e+01,2.945938364664714e+01,2.179047967087968e-01
1,15,0,3.461668209075928e+01,3.156362533569336e+01,-1.026334196329117e-01
1,15,1,3.461668209075928e+01,3.156362533569336e+01,1.381222486495972e-01
2,0,0,9.145169211179017e+00,0.000000000000000e+00,-2.930429339408875e+00
2,0,1,9.145169211179017e+00,0.000000000000000e+00,3.082856059074402e+00
2,1,0,1.193353596119624e+01,2.104241689046224e+00,-2.579583679280675e+00
2,1,1,1.193353596119624e+01,2.104241689046224e+00,2.715644013915113e+00
2,2,0,1.665698823977637e+01,4.208483378092448e+00,-2.095965182170661e+00
2,2,1,1.665698823977637e+01,4.208483378092448e+00,2.212696755229753e+00
2,3,0,2.054915092468262e+01,6.312725067138672e+00,-1.529123646020889e+00
2,3,1,2.054915092468262e+01,6.312725067138672e+00,1.654786807298660e+00
2,4,0,2.264095486171614e+01,8.416966756184896e+00,-1.074979702428330e+00
2,4,1,2.264095486171614e+01,8.416966756184896e+00,1.161456906610145e+00
2,5,0,2.378630135967786e+01,1.052120844523112e+01,-7.095968985425261e-01
2,5,1,2.378630135967786e+01,1.052120844523112e+01,7.571624650580531e-01
2,6,0,2.485663986206055e+01,1.262545013427734e+01,-4.721985802054405e-01
2,6,1,2.485663986206055e+01,1.262545013427734e+01,5.010997101664543e-01
2,7,0,2.595904499539895e+01,1.472969182332357e+01,-3.663568596159794e-01
2,7,1,2.595904499539895e+01,1.472969182332357e+01,3.884333320462954e-01
2,8,0,2.703228161637874e+01,1.683393351236979e+01,-3.403643734164421e-01
2,8,1,2.703228161637874e+01,1.683393351236979e+01,3.618233086909665e-01
2,9,0,2.809696563720703e+01,1.893817520141602e+01,-3.245393902063370e-01
2,9,1,2.809696563720703e+01,1.893817520141602e+01,3.501433998346329e-01
2,10,0,2.922868401654076e+01,2.104241689046224e+01,-3.081547014694540e-01
2,10,1,2.922868401654076e+01,2.104241689046224e+01,3.231864511667058e-01
2,11,0,3.035103088947303e+01,2.314665857950846e+01,-2.747502617825385e-01
2,11,1,3.035103088947303e+01,2.314665857950846e+01,2.906968035615606e-01
2,12,0,3.150514282226563e+01,2.525090026855469e+01,-2.449006266891957e-01
2,12,1,3.150514282226563e+01,2.525090026855469e+01,2.594242073595524e-01
2,13,0,3.266906475240557e+01,2.735514195760091e+01,-2.190286388958977e-01
2,13,1,3.266906475240557e+01,2.735514195760091e+01,2.309365241098404e-01
2,14,0,3.385000461839110e+01,2.945938364664714e+01,-2.043515905012529e-01
2,14,1,3.385000461839110e+01,2.945938364664714e+01,2.179047967087968e-01
2,15,0,3.497308303833008e+01,3.156362533569336e+01,-1.026334196329117e-01
2,15,1,3.497308303833008e+01,3.156362533569336e+01,1.381222486495972e-01
3,0,0,1.426188264926895e+01,0.000000000000000e+00,-2.930429339408875e+00
3,0,1,1.426188264926895e+01,0.000000000000000e+00,3.082856059074402e+00
3,1,0,1.652485575459584e+01,2.104241689046224e+00,-2.579583679280675e+00
3,1,1,1.652485575459584e+01,2.104241689046224e+00,2.715644013915113e+00
3,2,0,2.033860193972122e+01,4.208483378092448e+00,-2.095965182170661e+00
3,2,1,2.033860193972122e+01,4.208483378092448e+00,2.212696755229753e+00
3,3,0,2.330055689811707e+01,6.312725067138672e+00,-1.529123646020889e+00
3,3,1,2.330055689811707e+01,6.312725067138672e+00,1.654786807298660e+00
3,4,0,2.462224485411957e+01,8.416966756184896e+00,-1.074979702428330e+00
3,4,1,2.462224485411957e+01,8.416966756184896e+00,1.161456906610145e+00
3,5,0,2.511858879738313e+01,1.052120844523112e+01,-7.095968985425261e-01
3,5,1,2.511858879738313e+01,1.052120844523112e+01,7.571624650580531e-01
3,6,0,2.575175952911377e+01,1.262545013427734e+01,-4.721985802054405e-01
3,6,1,2.575175952911377e+01,1.262545013427734e+01,5.010997101664543e-01
3,7,0,2.664092762069040e+01,1.472969182332357e+01,-3.663568596159794e-01
3,7,1,2.664092762069040e+01,1.472969182332357e+01,3.884333320462954e-01
3,8,0,2.767948309227123e+01,1.683393351236979e+01,-3.403643734164421e-01
3,8,1,2.767948309227123e+01,1.683393351236979e+01,3.618233086909665e-01
3,9,0,2.871760082244873e+01,1.893817520141602e+01,-3.245393902063370e-01
3,9,1,2.871760082244873e+01,1.893817520141602e+01,3.501433998346329e-01
3,10,0,2.980146777424812e+01,2.104241689046224e+01,-3.081547014694540e-01
3,10,1,2.980146777424812e+01,2.104241689046224e+01,3.231864511667058e-01
3,11,0,3.086961789285500e+01,2.314665857950846e+01,-2.747502617825385e-01
3,11,1,3.086961789285500e+01,2.314665857950846e+01,2.906968035615606e-01
3,12,0,3.196928977966309e+01,2.525090026855469e+01,-2.449006266891957e-01
3,12,1,3.196928977966309e+01,2.525090026855469e+01,2.594242073595524e-01
3,13,0,3.309302475960874e+01,2.735514195760091e+01,-2.190286388958977e-01
3,13,1,3.309302475960874e+01,2.735514195760091e+01,2.309365241098404e-01
3,14,0,3.424482430599990e+01,2.945938364664714e+01,-2.043515905012529e-01
3,14,1,3.424482430599990e+01,2.945938364664714e+01,2.179047967087968e-01
3,15,0,3.532948398590088e+01,3.156362533569336e+01,-1.026334196329117e-01
3,15,1,3.532948398590088e+01,3.156362533569336e+01,1.381222486495972e-01
4,0,0,1.937859608735889e+01,0.000000000000000e+00,-2.930429339408875e+00
4,0,1,1.937859608735889e+01,0.000000000000000e+00,3.082856059074402e+00
4,1,0,2.111617554799543e+01,2.104241689046224e+00,-2.579583679280675e+00
4,1,1,2.111617554799543e+01,2.104241689046224e+00,2.715644013915113e+00
4,2,0,2.402021563966608e+01,4.208483378092448e+00,-2.095965182170661e+00
4,2,1,2.402021563966608e+01,4.208483378092448e+00,2.212696755229753e+00
4,3,0,2.605196287155152e+01,6.312725067138672e+00,-1.529123646020889e+00
4,3,1,2.605196287155152e+01,6.312725067138672e+00,1.654786807298660e+00
4,4,0,2.660353484652301e+01,8.416966756184896e+00,-1.074979702428330e+00
4,4,1,2.660353484652301e+01,8.416966756184896e+00,1.161456906610145e+00
4,5,0,2.645087623508839e+01,1.052120844523112e+01,-7.095968985425261e-01
4,5,1,2.645087623508839e+01,1.052120844523112e+01,7.571624650580531e-01
4,6,0,2.664687919616699e+01,1.262545013427734e+01,-4.721985802054405e-01
4,6,1,2.664687919616699e+01,1.262545013427734e+01,5.010997101664543e-01
4,7,0,2.732281024598184e+01,1.472969182332357e+01,-3.663568596159794e-01
4,7,1,2.732281024598184e+01,1.472969182332357e+01,3.884333320462954e-01
4,8,0,2.832668456816373e+01,1.683393351236979e+01,-3.403643734164421e-01
4,8,1,2.832668456816373e+01,1.683393351236979e+01,3.618233086909665e-01
4,9,0,2.933823600769043e+01,1.893817520141602e+01,-3.245393902063370e-01
4,9,1,2.933823600769043e+01,1.893817520141602e+01,3.501433998346329e-01
4,10,0,3.037425153195547e+01,2.104241689046224e+01,-3.081547014694540e-01
4,10,1,3.037425153195547e+01,2.104241689046224e+01,3.231864511667058e-01
4,11,0,3.138820489623696e+01,2.314665857950846e+01,-2.747502617825385e-01
4,11,1,3.138820489623696e+01,2.314665857950846e+01,2.906968035615606e-01
4,12,0,3.243343673706055e+01,2.525090026855469e+01,-2.449006266891957e-01
4,12,1,3.243343673706055e+01,2.525090026855469e+01,2.594242073595524e-01
4,13,0,3.351698476681190e+01,2.735514195760091e+01,-2.190286388958977e-01
4,13,1,3.351698476681190e+01,2.735514195760091e+01,2.309365241098404e-01
4,14,0,3.463964399360869e+01,2.945938364664714e+01,-2.043515905012529e-01
4,14,1,3.463964399360869e+01,2.945938364664714e+01,2.179047967087968e-01
4,15,0,3.568588493347168e+01,3.156362533569336e+01,-1.026334196329117e-01
4,15,1,3.568588493347168e+01,3.156362533569336e+01,1.381222486495972e-01
5,0,0,2.449530952544883e+01,0.000000000000000e+00,-2.930429339408875e+00
5,0,1,2.449530952544883e+01,0.000000000000000e+00,3.082856059074402e+00
5,1,0,2.570749534139503e+01,2.104241689046224e+00,-2.579583679280675e+00
5,1,1,2.570749534139503e+01,2.104241689046224e+00,2.715644013915113e+00
5,2,0,2.770182933961093e+01,4.208483378092448e+00,-2.095965182170661e+00
5,2,1,2.770182933961093e+01,4.208483378092448e+00,2.212696755229753e+00
5,3,0,2.880336884498596e+01,6.312725067138672e+00,-1.529123646020889e+00
5,3,1,2.880336884498596e+01,6.312725067138672e+00,1.654786807298660e+00
5,4,0,2.858482483892645e+01,8.416966756184896e+00,-1.074979702428330e+00
5,4,1,2.858482483892645e+01,8.416966756184896e+00,1.161456906610145e+00
5,5,0,2.778316367279366e+01,1.052120844523112e+01,-7.095968985425261e-01
5,5,1,2.778316367279366e+01,1.052120844523112e+01,7.571624650580531e-01
5,6,0,2.754199886322021e+01,1.262545013427734e+01,-4.721985802054405e-01
5,6,1,2.754199886322021e+01,1.262545013427734e+01,5.010997101664543e-01
5,7,0,2.800469287127328e+01,1.472969182332357e+01,-3.663568596159794e-01
5,7,1,2.800469287127328e+01,1.472969182332357e+01,3.884333320462954e-01
5,8,0,2.897388604405622e+01,1.683393351236979e+01,-3.403643734164421e-01
5,8,1,2.897388604405622e+01,1.683393351236979e+01,3.618233086909665e-01
5,9,0,2.995887119293213e+01,1.893817520141602e+01,-3.245393902063370e-01
5,9,1,2.995887119293213e+01,1.893817520141602e+01,3.501433998346329e-01
5,10,0,3.094703528966283e+01,2.104241689046224e+01,-3.081547014694540e-01
5,10,1,3.094703528966283e+01,2.104241689046224e+01,3.231864511667058e-01
5,11,0,3.190679189961893e+01,2.314665857950846e+01,-2.747502617825385e-01
5,11,1,3.190679189961893e+01,2.314665857950846e+01,2.906968035615606e-01
5,12,0,3.289758369445801e+01,2.525090026855469e+01,-2.449006266891957e-01
5,12,1,3.289758369445801e+01,2.525090026855469e+01,2.594242073595524e-01
5,13,0,3.394094477401507e+01,2.735514195760091e+01,-2.190286388958977e-01
5,13,1,3.394094477401507e+01,2.735514195760091e+01,2.309365241098404e-01
5,14,0,3.503446368121748e+01,2.945938364664714e+01,-2.043515905012529e-01
5,14,1,3.503446368121748e+01,2.945938364664714e+01,2.179047967087968e-01
5,15,0,3.604228588104248e+01,3.156362533569336e+01,-1.026334196329117e-01
5,15,1,3.604228588104248e+01,3.156362533569336e+01,1.381222486495972e-01
6,0,0,2.961202296353876e+01,0.000000000000000e+00,-2.930429339408875e+00
6,0,1,2.961202296353876e+01,0.000000000000000e+00,3.082856059074402e+00
6,1,0,3.029881513479462e+01,2.104241689046224e+00,-2.579583679280675e+00
6,1,1,3.029881513479462e+01,2.104241689046224e+00,2.715644013915113e+00
6,2,0,3.138344303955578e+01,4.208483378092448e+00,-2.095965182170661e+00
6,2,1,3.138344303955578e+01,4.208483378092448e+00,2.212696755229753e+00
6,3,0,3.155477481842041e+01,6.312725067138672e+00,-1.529123646020889e+00
6,3,1,3.155477481842041e+01,6.312725067138672e+00,1.654786807298660e+00
6,4,0,3.056611483132989e+01,8.416966756184896e+00,-1.074979702428330e+00
6,4,1,3.056611483132989e+01,8.416966756184896e+00,1.161456906610145e+00
6,5,0,2.911545111049892e+01,1.052120844523112e+01,-7.095968985425261e-01
6,5,1,2.911545111049892e+01,1.052120844523112e+01,7.571624650580531e-01
6,6,0,2.843711853027343e+01,1.262545013427734e+01,-4.721985802054405e-01
6,6,1,2.843711853027343e+01,1.262545013427734e+01,5.010997101664543e-01
6,7,0,2.868657549656472e+01,1.472969182332357e+01,-3.663568596159794e-01
6,7,1,2.868657549656472e+01,1.472969182332357e+01,3.884333320462954e-01
6,8,0,2.962108751994872e+01,1.683393351236979e+01,-3.403643734164421e-01
6,8,1,2.962108751994872e+01,1.683393351236979e+01,3.618233086909665e-01
6,9,0,3.057950637817383e+01,1.893817520141602e+01,-3.245393902063370e-01
6,9,1,3.057950637817383e+01,1.893817520141602e+01,3.501433998346329e-01
6,10,0,3.151981904737019e+01,2.104241689046224e+01,-3.081547014694540e-01
6,10,1,3.151981904737019e+01,2.104241689046224e+01,3.231864511667058e-01
6,11,0,3.242537890300090e+01,2.314665857950846e+01,-2.747502617825385e-01
6,11,1,3.242537890300090e+01,2.314665857950846e+01,2.906968035615606e-01
6,12,0,3.336173065185547e+01,2.525090026855469e+01,-2.449006266891957e-01
6,12,1,3.336173065185547e+01,2.525090026855469e+01,2.594242073595524e-01
6,13,0,3.436490478121823e+01,2.735514195760091e+01,-2.190286388958977e-01
6,13,1,3.436490478121823e+01,2.735514195760091e+01,2.309365241098404e-01
6,14,0,3.542928336882628e+01,2.945938364664714e+01,-2.043515905012529e-01
6,14,1,3.542928336882628e+01,2.945938364664714e+01,2.179047967087968e-01
6,15,0,3.639868682861328e+01,3.156362533569336e+01,-1.026334196329117e-01
6,15,1,3.639868682861328e+01,3.156362533569336e+01,1.381222486495972e-01
7,0,0,3.472873640162870e+01,0.000000000000000e+00,-2.930429339408875e+00
7,0,1,3.472873640162870e+01,0.000000000000000e+00,3.082856059074402e+00
7,1,0,3.489013492819422e+01,2.104241689046224e+00,-2.579583679280675e+00
7,1,1,3.489013492819422e+01,2.104241689046224e+00,2.715644013915113e+00
7,2,0,3.506505673950063e+01,4.208483378092448e+00,-2.095965182170661e+00
7,2,1,3.506505673950063e+01,4.208483378092448e+00,2.212696755229753e+00
7,3,0,3.430618079185486e+01,6.312725067138672e+00,-1.529123646020889e+00
7,3,1,3.430618079185486e+01,6.312725067138672e+00,1.654786807298660e+00
7,4,0,3.254740482373332e+01,8.416966756184896e+00,-1.074979702428330e+00
7,4,1,3.254740482373332e+01,8.416966756184896e+00,1.161456906610145e+00
7,5,0,3.044773854820419e+01,1.052120844523112e+01,-7.095968985425261e-01
7,5,1,3.044773854820419e+01,1.052120844523112e+01,7.571624650580531e-01
7,6,0,2.933223819732666e+01,1.262545013427734e+01,-4.721985802054405e-01
7,6,1,2.933223819732666e+01,1.262545013427734e+01,5.010997101664543e-01
7,7,0,2.936845812185616e+01,1.472969182332357e+01,-3.663568596159794e-01
7,7,1,2.936845812185616e+01,1.472969182332357e+01,3.884333320462954e-01
7,8,0,3.026828899584121e+01,1.683393351236979e+01,-3.403643734164421e-01
7,8,1,3.026828899584121e+01,1.683393351236979e+01,3.618233086909665e-01
7,9,0,3.120014156341553e+01,1.893817520141602e+01,-3.245393902063370e-01
7,9,1,3.120014156341553e+01,1.893817520141602e+01,3.501433998346329e-01
7,10,0,3.209260280507755e+01,2.104241689046224e+01,-3.081547014694540e-01
7,10,1,3.209260280507755e+01,2.104241689046224e+01,3.231864511667058e-01
7,11,0,3.294396590638286e+01,2.314665857950846e+01,-2.747502617825385e-01
7,11,1,3.294396590638286e+01,2.314665857950846e+01,2.906968035615606e-01
7,12,0,3.382587760925293e+01,2.525090026855469e+01,-2.449006266891957e-01
7,12,1,3.382587760925293e+01,2.525090026855469e+01,2.594242073595524e-01
7,13,0,3.478886478842140e+01,2.735514195760091e+01,-2.190286388958977e-01
7,13,1,3.478886478842140e+01,2.735514195760091e+01,2.309365241098404e-01
7,14,0,3.582410305643506e+01,2.945938364664714e+01,-2.043515905012529e-01
7,14,1,3.582410305643506e+01,2.945938364664714e+01,2.179047967087968e-01
7,15,0,3.675508777618408e+01,3.156362533569336e+01,-1.026334196329117e-01
7,15,1,3.675508777618408e+01,3.156362533569336e+01,1.381222486495972e-01
8,0,0,3.984544983971864e+01,0.000000000000000e+00,-2.930429339408875e+00
8,0,1,3.984544983971864e+01,0.000000000000000e+00,3.082856059074402e+00
8,1,0,3.948145472159381e+01,2.104241689046224e+00,-2.579583679280675e+00
8,1,1,3.948145472159381e+01,2.104241689046224e+00,2.715644013915113e+00
8,2,0,3.874667043944549e+01,4.208483378092448e+00,-2.095965182170661e+00
8,2,1,3.874667043944549e+01,4.208483378092448e+00,2.212696755229753e+00
8,3,0,3.705758676528931e+01,6.312725067138672e+00,-1.529123646020889e+00
8,3,1,3.705758676528931e+01,6.312725067138672e+00,1.654786807298660e+00
8,4,0,3.452869481613676e+01,8.416966756184896e+00,-1.074979702428330e+00
8,4,1,3.452869481613676e+01,8.416966756184896e+00,1.161456906610145e+00
8,5,0,3.178002598590945e+01,1.052120844523112e+01,-7.095968985425261e-01
8,5,1,3.178002598590945e+01,1.052120844523112e+01,7.571624650580531e-01
8,6,0,3.022735786437988e+01,1.262545013427734e+01,-4.721985802054405e-01
8,6,1,3.022735786437988e+01,1.262545013427734e+01,5.010997101664543e-01
8,7,0,3.005034074714760e+01,1.472969182332357e+01,-3.663568596159794e-01
8,7,1,3.005034074714760e+01,1.472969182332357e+01,3.884333320462954e-01
8,8,0,3.091549047173370e+01,1.683393351236979e+01,-3.403643734164421e-01
8,8,1,3.091549047173370e+01,1.683393351236979e+01,3.618233086909665e-01
8,9,0,3.182077674865723e+01,1.893817520141602e+01,-3.245393902063370e-01
8,9,1,3.182077674865723e+01,1.893817520141602e+01,3.501433998346329e-01
8,10,0,3.266538656278490e+01,2.104241689046224e+01,-3.081547014694540e-01
8,10,1,3.266538656278490e+01,2.104241689046224e+01,3.231864511667058e-01
8,11,0,3.346255290976483e+01,2.314665857950846e+01,-2.747502617825385e-01
8,11,1,3.346255290976483e+01,2.314665857950846e+01,2.906968035615606e-01
8,12,0,3.429002456665039e+01,2.525090026855469e+01,-2.449006266891957e-01
8,12,1,3.429002456665039e+01,2.525090026855469e+01,2.594242073595524e-01
8,13,0,3.521282479562456e+01,2.735514195760091e+01,-2.190286388958977e-01
8,13,1,3.521282479562456e+01,2.735514195760091e+01,2.309365241098404e-01
8,14,0,3.621892274404386e+01,2.945938364664714e+01,-2.043515905012529e-01
8,14,1,3.621892274404386e+01,2.945938364664714e+01,2.179047967087968e-01
8,15,0,3.711148872375488e+01,3.156362533569336e+01,-1.026334196329117e-01
8,15,1,3.711148872375488e+01,3.156362533569336e+01,1.381222486495972e-01
