X,Y,Z
45.3597,25.1545,6.20253
45.5323,25.1504,6.18163
45.6241,25.1555,6.16901
45.6738,25.1665,6.16271
45.7311,25.1643,6.14937
45.781,25.1672,6.1348
45.7813,25.1672,6.12825
45.7815,25.1672,6.12171
44.7703,25.1572,6.03543
45.6834,25.167,6.13651
45.5712,25.1629,6.13936
42.9454,25.1581,5.8631
45.7338,25.1633,6.13025
45.6348,26.0255,6.35951
45.8631,26.0156,6.33522
45.4537,26.009,6.37102
45.3245,26.0163,6.38113
45.9577,26.0173,6.32488
46.0363,26.0156,6.31402
46.075,26.0177,6.30855
46.1078,26.0165,6.30261
46.1334,26.0127,6.29667
46.1507,26.0247,6.29639
46.1526,26.0076,6.29116
46.1683,26.0157,6.28988
46.1871,26.0204,6.2866
46.1991,26.0076,6.2791
46.206,26.0226,6.28191
46.2238,26.0241,6.27625
46.2163,26.0097,6.27378
46.224,26.0241,6.26971
46.2166,26.0097,6.26724
46.2243,26.0242,6.26317
46.2169,26.0097,6.2607
42.8731,26.021,6.04497
43.1419,26.0229,6.0235
45.7115,26.0123,6.25109
45.5745,26.0115,6.23113
45.874,26.0154,6.26955
45.948,26.0256,6.27618
45.0706,26.012,6.14599
45.9927,26.0217,6.27763
44.9077,26.0159,6.12029
46.0557,26.0115,6.27675
46.1048,26.0235,6.27761
46.1283,26.0176,6.27513
46.1505,26.0224,6.2744
46.1887,26.0217,6.26972
46.1713,26.0184,6.27129
46.1826,26.0064,6.26685
46.2068,26.0231,6.26697
46.1996,26.0082,6.26433
43.3074,26.0066,6.0138
46.5394,26.8656,6.45127
46.5254,26.8795,6.45689
46.3591,26.8636,6.47309
46.3891,26.881,6.47392
46.1183,26.8746,6.49791
46.4253,26.8805,6.46983
46.4526,26.8787,6.46622
46.0622,26.8736,6.50235
46.501,26.8745,6.45904
46.5473,26.8804,6.45385
46.5603,26.8638,6.44744
45.6463,26.877,6.52781
45.3864,26.8728,6.53205
46.5676,26.8797,6.45043
46.5782,26.8669,6.4452
46.585,26.8793,6.44737
46.5948,26.8673,6.44234
46.5997,26.8796,6.44482
46.6044,26.8637,6.43947
46.6189,26.8655,6.43703
46.6092,26.8701,6.44033
46.6136,26.8808,6.44249
46.6213,26.8729,6.43864
44.3912,26.8737,6.48545
46.627,26.8819,6.44006
46.6531,26.881,6.43364
46.6292,26.8655,6.43475
46.6369,26.8775,6.43657
46.6382,26.8692,6.43373
46.6438,26.8634,6.43051
46.6434,26.8742,6.43402
46.6453,26.8809,6.43562
46.6502,26.875,6.43252
46.6305,26.8734,6.43678
46.6469,26.8692,6.43153
46.6512,26.8639,6.42863
46.6543,26.8697,6.42966
46.6572,26.8756,6.4308
46.6603,26.8814,6.43184
46.661,26.8703,6.42789
46.658,26.8645,6.42682
46.664,26.8762,6.42896
46.6671,26.8822,6.43006
46.6674,26.8822,6.4235
46.6643,26.8762,6.4224
46.6613,26.8703,6.42133
46.6583,26.8645,6.42026
46.6678,26.8822,6.41694
46.6647,26.8762,6.41585
46.6616,26.8704,6.41478
46.6586,26.8645,6.41371
43.4991,26.8753,6.19826
43.736,26.8787,6.17929
46.3869,26.872,6.4202
46.5894,26.8655,6.42189
46.5753,26.8685,6.42329
46.3531,26.8762,6.41809
46.3074,26.8803,6.41426
46.2466,26.8715,6.40645
46.1771,26.878,6.39818
46.1145,26.8739,6.38883
46.0565,26.8634,6.37904
46.447,26.8668,6.42284
45.9025,26.8708,6.35436
46.5004,26.8712,6.42498
46.5274,26.8697,6.42478
45.7969,26.8755,6.33652
45.6256,26.8766,6.30713
46.5487,26.8672,6.42396
46.5636,26.8749,6.42503
46.5651,26.8633,6.42267
46.5809,26.8785,6.42506
