X,Y,Z
32.8683,5.45157,4.61083
35.3828,7.84017,4.59365
34.8126,5.38651,4.3435
34.627,5.41871,4.37558
32.0095,6.26777,4.77713
31.6839,5.81192,4.76784
31.8271,5.91662,4.76388
32.2724,5.45688,4.67763
35.0557,5.86217,4.36976
35.0563,5.68457,4.34556
35.3077,7.46706,4.55502
32.4776,5.42992,4.65265
35.2833,7.27265,4.53247
34.4316,5.43637,4.40658
33.8854,5.45964,4.48566
34.2421,5.44573,4.43492
32.6375,7.17595,4.79964
33.6118,8.33479,4.82057
33.1437,5.47949,4.58154
34.9871,5.36721,4.31429
35.0956,5.21966,4.27841
35.1644,5.39534,4.29055
31.4061,5.36087,4.75537
31.5046,5.85851,4.78689
32.7657,7.98208,4.84819
32.5918,7.95098,4.85545
31.8415,6.25734,4.79012
32.145,6.57744,4.79078
32.3423,6.80119,4.79283
33.0125,5.31621,4.57905
33.9389,8.73918,4.82969
31.7376,5.26655,4.71486
32.7631,8.77265,4.88941
32.8884,8.64841,4.87976
32.9529,8.78519,4.88402
32.9167,8.472,4.86949
33.078,8.61684,4.87036
31.6295,6.00763,4.78809
32.0275,6.7002,4.80891
31.974,6.57537,4.80378
31.9874,6.8229,4.82028
31.8706,6.75584,4.82363
33.4406,8.42565,4.83867
34.8955,5.22656,4.3102
33.9251,8.35618,4.79933
34.518,5.26528,4.37219
33.5724,5.2628,4.50334
33.264,8.51571,4.85508
32.772,7.62958,4.82413
35.1415,6.38084,4.42921
35.2326,6.2792,4.40135
32.3751,5.2712,4.64764
34.0752,8.3723,4.78889
34.2021,8.37547,4.77873
34.2947,8.44171,4.77706
35.3707,6.74798,4.44743
33.2114,5.29419,4.5525
32.386,6.97068,4.8026
32.4271,7.13175,4.81163
35.2228,5.76678,4.33113
35.4311,7.14412,4.4943
31.5385,5.22293,4.73071
31.2534,5.3158,4.76558
31.0776,5.33718,4.78278
31.1736,5.18927,4.76243
35.5714,7.91309,4.57825
35.5432,7.72161,4.55687
34.3293,5.26961,4.4004
34.1422,5.27545,4.42786
30.8649,5.27257,4.79575
30.7767,5.46532,4.81607
30.6586,5.2939,4.81355
31.0079,5.17967,4.77653
35.4292,8.32592,4.64847
35.3232,8.46086,4.67707
35.502,8.47339,4.65744
31.0618,5.49439,4.79591
30.9461,5.42842,4.80046
32.1508,6.77066,4.80503
35.6052,8.09406,4.59721
35.6161,8.28899,4.62056
35.1297,8.464,4.6991
35.2032,5.57844,4.30873
33.9638,5.28553,4.4539
33.3956,5.28308,4.5283
35.2414,5.9561,4.35451
32.8316,5.28351,4.59688
35.4973,7.53355,4.53806
32.687,5.14669,4.59895
32.5403,5.26748,4.62873
31.9203,5.24553,4.69409
32.623,7.371,4.81546
31.6709,6.20828,4.79987
31.9009,6.42075,4.79787
31.3273,5.91998,4.80552
35.4607,7.34128,4.51718
32.4457,7.29763,4.82221
32.2109,5.26565,4.66511
34.7024,5.24488,4.34198
32.0641,5.13086,4.66752
33.5871,8.53264,4.83723
34.1716,8.54466,4.79645
32.2071,6.94477,4.81361
30.3173,4.99761,4.8196
30.4208,5.11963,4.81987
30.2756,5.17696,4.83355
30.384,4.83517,4.80329
30.4857,4.99313,4.80635
32.5994,7.54653,4.82945
35.4187,6.24074,4.36779
33.8356,5.12285,4.45169
33.818,5.30602,4.47613
33.7143,5.24167,4.48224
35.3802,8.9232,4.72275
35.4614,8.80028,4.70028
34.6423,8.48166,4.75004
32.5324,8.3305,4.8776
32.4415,8.21218,4.87546
32.5702,8.14518,4.86712
32.3295,8.19257,4.87844
32.4268,8.0747,4.86954
32.4487,7.96098,4.86282
32.4143,7.84605,4.85824
30.7252,5.1533,4.7985
30.5733,5.45828,4.83004
30.4516,5.28942,4.82826
30.9359,5.73822,4.8221
31.0576,5.82466,4.81898
30.9177,5.94035,4.83536
30.9369,5.57271,4.81122
32.2519,7.09552,4.8211
32.2718,7.24321,4.82975
32.1341,7.19987,4.83545
32.2757,7.39584,4.83927
32.1109,7.33448,4.84491
30.7948,5.65742,4.82692
30.6556,5.60263,4.83299
30.6504,5.77832,4.84291
31.4933,6.16624,4.81027
31.6978,6.41975,4.81293
31.3514,5.20021,4.74678
31.0746,5.03806,4.75897
35.403,5.85496,4.31551
32.2767,5.10801,4.64178
36.0163,8.42033,4.58445
35.8655,8.53978,4.61984
35.829,8.34621,4.60004
35.8873,8.70298,4.63736
35.7388,8.67784,4.65306
31.6591,5.06745,4.70424
32.9016,5.12496,4.57116
32.7054,8.08116,4.85733
33.4712,5.09709,4.49701
31.7943,6.59168,4.81786
32.7158,8.23198,4.86533
34.4114,5.09711,4.36674
33.646,5.0918,4.47345
33.2907,5.10568,4.52108
34.799,5.07671,4.30579
35.3982,6.95135,4.47213
35.5187,6.62031,4.40728
35.7663,7.97452,4.55998
35.3494,5.45576,4.26973
35.6511,7.40562,4.49911
35.6125,7.21419,4.4781
31.8575,5.08905,4.68556
31.4638,5.04821,4.72231
30.8651,5.05017,4.77885
34.5243,8.59958,4.77217
32.7402,8.58585,4.88204
35.1891,5.06208,4.24355
34.9978,5.06904,4.27417
30.5671,5.14599,4.81056
30.661,5.00899,4.79319
35.6915,8.48814,4.63578
35.5679,8.64547,4.67003
32.4387,7.46827,4.83418
35.3774,5.66437,4.29328
35.3094,5.2328,4.24682
35.7303,7.789,4.54016
34.8053,8.54991,4.74153
32.7211,8.40902,4.87433
31.448,6.01574,4.80308
31.2678,5.0392,4.74078
33.0978,5.11872,4.54662
35.6913,7.5932,4.51912
32.5975,7.73579,4.84206
35.5797,7.01698,4.45508
35.4203,6.03939,4.33885
35.5487,6.82071,4.43164
34.2302,5.09784,4.39327
32.0387,6.94058,4.82474
34.0358,5.09908,4.4211
31.1257,5.98515,4.8244
34.602,5.08588,4.33689
35.4824,6.43204,4.38562
34.357,8.61413,4.78769
32.4701,5.10799,4.61989
32.2442,8.08728,4.87683
32.3556,7.9744,4.86753
32.0801,8.15914,4.88424
32.0714,8.01807,4.87947
31.2853,6.12652,4.82238
36.1647,8.72975,4.60419
36.0236,8.62179,4.60936
36.2118,8.51683,4.5703
36.1452,8.88106,4.62584
36.0008,8.82916,4.63829
32.7596,9.22498,4.90505
32.896,9.30295,4.90558
32.7958,9.40169,4.90933
32.8241,9.04567,4.89834
32.9273,9.16415,4.90042
32.423,7.64381,4.84614
34.6671,8.68202,4.7675
33.4044,9.13405,4.88467
33.2405,9.00714,4.88446
35.2789,4.89759,4.20836
35.3569,5.04273,4.21485
35.4969,5.1238,4.20343
31.7334,6.8754,4.83954
31.8584,6.95037,4.83662
31.6438,7.03704,4.85309
31.6918,6.75302,4.83479
31.3835,6.81234,4.85476
31.303,6.67238,4.85199
31.4645,6.67492,4.84356
31.2414,6.8285,4.86193
35.1259,8.84353,4.7405
34.9903,8.81361,4.75067
35.2434,8.94627,4.73941
35.0531,9.02111,4.76542
33.1403,8.81647,4.87854
32.4649,8.78244,4.8963
32.4398,8.94,4.90087
32.2848,8.80755,4.89907
32.5943,8.85486,4.89635
32.085,7.08301,4.83105
34.9697,8.61529,4.7322
30.4825,5.65392,4.84637
35.6059,6.11621,4.32131
31.5421,6.32051,4.81724
31.6121,6.62065,4.83171
34.2155,8.75598,4.81124
34.3521,8.82178,4.80643
34.2433,8.95069,4.82524
34.5073,8.79877,4.79206
34.4153,9.00789,4.81739
30.8093,5.80768,4.83475
33.7446,4.91892,4.43947
32.9874,4.94125,4.54017
34.3208,4.91902,4.35773
35.6181,8.8204,4.68458
33.7602,8.79355,4.84533
31.9431,7.07199,4.83892
32.594,8.68827,4.89054
32.853,8.90192,4.89221
32.7185,8.94424,4.89695
33.6289,8.91552,4.86125
31.1709,4.87415,4.73562
35.5546,5.73777,4.27578
34.8324,8.75831,4.75997
31.9666,4.92509,4.65749
31.5655,4.89342,4.69743
32.1649,4.93195,4.63612
32.3748,4.94057,4.61311
35.6683,6.49898,4.36722
35.7001,6.69145,4.39043
33.3687,4.91864,4.48939
35.7245,6.89636,4.41649
35.8031,7.27746,4.45938
35.8434,7.46696,4.48005
35.8808,7.65925,4.50131
32.2586,7.56287,4.85018
35.799,8.15557,4.57938
35.9228,7.84895,4.52133
35.9602,8.03629,4.54141
30.5767,4.84109,4.78764
33.8963,8.90016,4.84459
34.0663,8.88908,4.83266
34.0762,8.69626,4.81658
35.0876,4.90911,4.2397
30.1435,5.04127,4.83454
30.7702,4.85781,4.77194
35.9901,8.22519,4.56245
35.6338,6.31156,4.34523
35.763,7.08601,4.43806
32.565,8.52474,4.88493
35.7931,8.877,4.67024
35.4986,5.33576,4.2307
34.8979,4.91739,4.2702
34.6984,4.91657,4.30075
31.3751,6.3167,4.82826
31.4646,6.5011,4.83369
30.4036,5.48401,4.84233
32.7864,4.94982,4.56563
32.5793,4.95627,4.59099
30.1713,4.84426,4.82046
31.7702,4.90905,4.67725
31.3694,4.88202,4.71656
30.9709,4.86928,4.75441
34.1296,4.921,4.3858
33.5564,4.92063,4.46501
33.183,4.93014,4.51449
35.5234,5.5434,4.25428
32.099,7.4951,4.85451
35.5801,5.93093,4.29884
35.4826,4.90169,4.17704
33.0041,8.98117,4.89125
32.3438,8.32221,4.88323
34.6842,8.88293,4.78499
31.9635,7.23245,4.84706
32.245,7.74508,4.86077
30.7267,5.9533,4.84739
32.6922,9.08074,4.90176
32.5829,9.02089,4.90148
32.5919,9.18954,4.9056
30.3472,5.77719,4.85907
30.4691,5.85787,4.85654
30.2855,5.94884,4.86804
30.2633,5.627,4.85691
30.6042,6.10797,4.8605
30.583,5.94475,4.85463
31.5392,6.78336,4.8453
33.3877,9.30483,4.89384
33.4959,9.35581,4.89257
33.4081,9.46563,4.90058
33.6098,9.28927,4.88462
33.5788,9.49171,4.89636
32.1739,8.27342,4.88586
35.4667,4.57119,4.13655
35.634,4.61558,4.11612
35.5207,4.7187,4.14738
35.7794,4.50601,4.07869
35.7962,4.69142,4.10061
